Title,Date created,City
"Hoffman Vineyards, Zinfandel, 1978",1978,Paso Robles
"Ahern 1984, Napa Gamay Blanc",1984,San Fernando
"Castoro Cellars, Cabernet Sauvignon, 1980",1980,Paso Robles
"Estrella River Winery, Syrah, 1979",1979,Paso Robles
"Foxen Canyon Vineyard, Chardonnay, 1979",1979,Paso Robles
"Lawrence Winery, Sauvignon Blanc (Fumé Blanc), 1981",1981,San Luis Obispo
"Martin Brothers, California Nebbiolo, 1982",1982,Paso Robles
"Mastantuono Winery, Zinfandel, 1980",1980,Paso Robles
"The Monterey Vineyard, Cabernet Sauvignon, 1979",1979,Gonzales
"Sanford, Pinot Noir",,San Luis Obispo
"Tobias, Petite Sirah, 1980",1980,Paso Robles
"York Mountain, Pinot Noir, 1982",1982,Templeton
"Adelaida, Cabernet Sauvignon, 1981",1981,Paso Robles
"Rolling Ridge, Zinfandel, 1980",1980,San Miguel
"Ridge, California Zinfandel, 1982",1982,Cupertino
"Watson, Chenin Blanc, 1984",1984,Paso Robles
"Hoffman Vineyards, Johannisberg Riesling, 1979",1979,Paso Robles
"Martin Brothers, Chardonnay, 1982",1982,Paso Robles
"The Monterey Vineyard, Pinot Blanc, 1984",1984,Gonzales
"Hallcrest, White Riesling, 1960",1960,Felton
"Far Niente, Chardonnay",,Oakville
"Inglenook Vineyard, Red Wine",,Rutherford
"J. Lohr, Chardonnay, 1982",1982,San Jose
"Qupé, Chardonnay, 1983",1983,Los Olivos
"Sarah's Vineyard, Johannisberg Riesling, 1984",1984,Gilroy
"Michael's, Cabernet Sauvignon, 1982",1982,Napa
